Product_Collection,Vertical_Segment,Processor_Number,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,,,,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1240V5,$272.00 - $282.00,4,8,3.50 GHz,3.90 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1235LV5,$250.00 ,4,4,2.00 GHz,3.00 GHz,8 MB SmartCache,8 GT/s DMI3,25 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1240LV5,$278.00 ,4,8,2.10 GHz,3.20 GHz,8 MB SmartCache,8 GT/s DMI3,25 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1245V5,$284.00 - $294.00,4,8,3.50 GHz,3.90 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1260LV5,$294.00 ,4,8,2.90 GHz,3.90 GHz,8 MB SmartCache,8 GT/s DMI3,45 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1270V5,$328.00 - $339.00,4,8,3.60 GHz,4.00 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1275V5,$339.00 - $350.00,4,8,3.60 GHz,4.00 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,Yes,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1280V5,$612.00 ,4,8,3.70 GHz,4.00 GHz,8 MB SmartCache,8 GT/s DMI3,80 W,No,Yes,64 GB,DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V,2,34.1 GB/s,Yes,3,1x16, 2x8, 1x8+2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,
Intel Xeon Processor E5 v3 Family,Server,E3-1565LV5,$417.00 ,4,8,2.50 GHz,3.50 GHz,8 MB,8 GT/s DMI3,35 W,No,Yes,64 GB,DDR3L,LPDDR3 1600MHz, DDR4 2133MHz at 1.2V,2,,Yes,3,1x16,2x8,1x8+2x4,16,0,100,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,
Intel Xeon Processor E5 v3 Family,Server,E3-1585LV5,$445.00 ,4,8,3.00 GHz,3.70 GHz,8 MB,8 GT/s DMI3,45 W,No,Yes,64 GB,DDR3L,LPDDR3 1600MHz, DDR4 2133MHz at 1.2V,2,,Yes,3,1x16,2x8,1x8+2x4,16,0,100,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,
Intel Xeon Processor E5 v3 Family,Server,E3-1585V5,$556.00 ,4,8,3.50 GHz,3.90 GHz,8 MB,8 GT/s DMI3,65 W,No,Yes,64 GB,DDR3L,LPDDR3 1600MHz, DDR4 2133MHz at 1.2V,2,,Yes,3,1x16,2x8,1x8+2x4,16,0,100,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,
Intel Xeon Processor E5 v3 Family,Server,E3-1265LV4,$417.00 ,4,8,2.30 GHz,3.30 GHz,6 MB,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600/1866 at 1.5V,2,29.8 GB/s,Yes,3,1x16,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1285V4,$556.00 ,4,8,3.50 GHz,3.80 GHz,6 MB,5 GT/s DMI,95 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600/1866 at 1.5V,2,29.8 GB/s,Yes,3,1x16,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1285LV4,$445.00 ,4,8,3.40 GHz,3.80 GHz,6 MB,5 GT/s DMI,65 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600/1866 at 1.5V,2,29.8 GB/s,Yes,3,1x16,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1220LV3,N/A,2,4,1.10 GHz,1.50 GHz,4 MB SmartCache,5 GT/s DMI,13 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1226V3,$213.00 - $224.00,4,4,3.30 GHz,3.70 GHz,8 MB SmartCache,5 GT/s DMI2,84 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1225V3,$213.00 - $224.00,4,4,3.20 GHz,3.60 GHz,8 MB SmartCache,5 GT/s DMI,84 W,Yes,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1230Lv3,$250.00 ,4,8,1.80 GHz,2.80 GHz,8 MB SmartCache,5 GT/s DMI,25 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1231V3,$240.00 - $250.00,4,8,3.40 GHz,3.80 GHz,8 MB SmartCache,5 GT/s DMI2,80 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1240LV3,$278.00 ,4,8,2.00 GHz,3.00 GHz,8 MB SmartCache,5 GT/s DMI2,25 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1241V3,$262.00 - $273.00,4,8,3.50 GHz,3.90 GHz,8 MB SmartCache,5 GT/s DMI2,80 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1246V3,$276.00 - $287.00,4,8,3.50 GHz,3.90 GHz,8 MB SmartCache,5 GT/s DMI2,84 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1265Lv3,$294.00 ,4,8,2.50 GHz,3.70 GHz,8 MB SmartCache,5 GT/s DMI,45 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1271V3,$328.00 - $339.00,4,8,3.60 GHz,4.00 GHz,8 MB SmartCache,5 GT/s DMI2,80 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1275LV3,$328.00 ,4,8,2.70 GHz,3.90 GHz,8 MB SmartCache,5 GT/s DMI,45 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1276V3,$339.00 - $350.00,4,8,3.60 GHz,4.00 GHz,8 MB SmartCache,5 GT/s DMI2,84 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1281V3,$612.00 ,4,8,3.70 GHz,4.10 GHz,8 MB SmartCache,5 GT/s DMI2,82 W,No,Yes,32 GB,DDR3 and DDR3L 1333/1600 at 1.5V,2,25.6 GB/s,Yes,3,1x16, 2x8, 1x8/2x4,16,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1225V2,$186.00 - $224.00,4,4,3.20 GHz,3.60 GHz,8 MB SmartCache,5 GT/s DMI,77 W,Yes,Yes,32.77 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,3,1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4,,,No,Yes,Yes,64-bit,SSE4.1/4.2, AVX,Yes,Yes,,Yes,,,,
Intel Xeon Processor E5 v3 Family,Server,E3-1275V2,$319.00 - $350.00,4,8,3.50 GHz,3.90 GHz,8 MB SmartCache,5 GT/s DMI,77 W,Yes,Yes,32.77 GB,DDR3 1333/1600,2,25.6 GB/s,Yes,3,1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4,,,Yes,Yes,Yes,64-bit,SSE4.1/4.2, AVX,Yes,Yes,,Yes,,,,
Intel Xeon Processor E5 v3 Family,Server,D-1518,$234.00 ,4,8,2.20 GHz,2.20 GHz,6 MB,,35 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v3 Family,Server,D-1520,$199.00 ,4,8,2.20 GHz,2.60 GHz,6 MB,,45 W,No,Yes,128 GB,DDR4,2,,Yes,2.0/3.0,x4 x8 x16,32,80Â°C ,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1521,$199.00 ,4,8,2.40 GHz,2.70 GHz,6 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1523N,$256.00 ,4,8,2.00 GHz,2.60 GHz,6 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1527,$259.00 ,4,8,2.20 GHz,2.70 GHz,6 MB,,35 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1528,$389.00 ,6,12,1.90 GHz,2.50 GHz,9 MB,,35 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1529,$324.00 ,4,8,1.30 GHz,1.30 GHz,6 MB,,20 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,24,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1531,$348.00 ,6,12,2.20 GHz,2.70 GHz,9 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1533N,$470.00 ,6,12,2.10 GHz,2.70 GHz,9 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1537,$571.00 ,8,16,1.70 GHz,2.30 GHz,12 MB,,35 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1539,$590.00 ,8,16,1.60 GHz,2.20 GHz,12 MB,,35 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1540,$581.00 ,8,16,2.00 GHz,2.60 GHz,12 MB,,45 W,No,Yes,128 GB,DDR4,2,,Yes,2.0/3.0,x4 x8 x16,32,80Â°C ,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1541,$581.00 ,8,16,2.10 GHz,2.70 GHz,12 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1543N,$652.00 ,8,16,1.90 GHz,2.50 GHz,12 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1548,$675.00 ,8,16,2.00 GHz,2.60 GHz,12 MB,,45 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1559,$883.00 ,12,24,1.50 GHz,2.10 GHz,18 MB,,45 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1557,$844.00 ,12,24,1.50 GHz,2.10 GHz,18 MB,,45 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1567,$1,299,12,24,2.10 GHz,2.70 GHz,18 MB,,65 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1553N,$855.00 ,8,16,2.30 GHz,2.70 GHz,12 MB,,65 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1571,$1,222,16,32,1.30 GHz,2.10 GHz,24 MB,,45 W,No,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v4 Family,Server,D-1577,$1,477,16,32,1.30 GHz,2.10 GHz,24 MB,,45 W,Yes,Yes,128 GB,DDR4, DDR3,2,,Yes,2.0/3.0,x4 x8 x16,32,,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E5 v4 Family,Server,E5607,$276.00 - $279.00,4,4,2.26 GHz,,8 MB SmartCache,4.8 GT/s QPI,80 W,No,Yes,288 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,,No,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5620,$369.00 - $391.00,4,8,2.40 GHz,2.66 GHz,12 MB SmartCache,5.86 GT/s QPI,80 W,Yes,Yes,288 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,77.6Â°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,,N/A,1,,3.80 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,73Â°C,Yes,No,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,,N/A,1,,3.80 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,73Â°C,Yes,No,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5645,$525.00 - $554.00,6,12,2.40 GHz,2.67 GHz,12 MB SmartCache,5.86 GT/s QPI,80 W,Yes,Yes,288 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,76.2Â°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5649,$774.00 - $777.00,6,12,2.53 GHz,2.93 GHz,12 MB SmartCache,5.86 GT/s QPI,80 W,No,Yes,288 GB,DDR3 800/1066/1333 ,3,32 GB/s,Yes,,,,76.2Â°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,,N/A,1,,3.60 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,73Â°C,Yes,No,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,,N/A,1,,3.60 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,,,,,72Â°C,Yes,No,,64-bit,,,,,,,,,,,
Intel Xeon Processor E5 v4 Family,Server,L5618,$437.00 ,4,8,1.87 GHz,2.26 GHz,12 MB,5.86 GT/s QPI,40 W,Yes,Yes,,,,,,,,,87Â°C,Yes,Yes,Yes,,,Yes,,,,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5502,N/A,2,2,1.86 GHz,,4 MB SmartCache,4.8 GT/s QPI,80 W,No,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,76Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5503,N/A,2,2,2.00 GHz,,4 MB SmartCache,4.8 GT/s QPI,80 W,No,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,76Â°C,No,Yes,Yes,64-bit,,Yes,No,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,,N/A,1,,3.40 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,73Â°C,Yes,No,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5504,$221.00 ,4,4,2.00 GHz,,4 MB SmartCache,4.8 GT/s QPI,80 W,Yes,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,76Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,L5638,$525.00 ,6,12,2.00 GHz,2.40 GHz,12 MB,5.86 GT/s QPI,60 W,Yes,Yes,,,,,,,,,85Â°C,Yes,Yes,Yes,,,Yes,,,,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5506,N/A,4,4,2.13 GHz,,4 MB SmartCache,4.8 GT/s QPI,80 W,No,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,76Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5507,N/A,4,4,2.26 GHz,,4 MB SmartCache,4.8 GT/s QPI,80 W,No,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,76Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5220,$317.00 ,2,,2.33 GHz,,6 MB L2,1333 MHz FSB,65 W,Yes,Yes,,,,,,,,,66Â°C,No,Yes,Yes,64-bit,,No,,,Yes,,,,,,
Intel Xeon Processor E5 v4 Family,Server,E5440,$703.00 - $735.00,4,,2.83 GHz,,12 MB L2,1333 MHz FSB,80 W,Yes,Yes,,,,,,,,,67Â°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,,N/A,1,,2.00 GHz,,512 KB L2,400 MHz FSB,58 W,Yes,,,,,,,,,,70Â°C,Yes,No,,32-bit,,,,,,,,,,,
Intel Xeon Processor E7 v2 Family,Server,,N/A,1,,3.20 GHz,,2 MB L2,800 MHz FSB,110 W,No,,,,,,No,,,,73Â°C,Yes,No,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,E5520,N/A,4,8,2.26 GHz,2.53 GHz,8 MB SmartCache,5.86 GT/s QPI,80 W,No,,144 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,72Â°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,E5530,N/A,4,8,2.40 GHz,2.66 GHz,8 MB SmartCache,5.86 GT/s QPI,80 W,No,,144 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,76Â°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,E5540,$940.00 ,4,8,2.53 GHz,2.80 GHz,8 MB SmartCache,5.86 GT/s QPI,80 W,Yes,,144 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,76Â°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,L5506,N/A,4,4,2.13 GHz,,4 MB SmartCache,4.8 GT/s QPI,60 W,No,,144 GB,DDR3 800,3,19.2 GB/s,Yes,,,,70Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,L5215,N/A,2,,1.86 GHz,,6 MB L2,1066 MHz FSB,20 W,No,Yes,,,,,,,,,75Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,5130,N/A,2,,2.00 GHz,,4 MB L2,1333 MHz FSB,65 W,Yes,Yes,,,,,,,,,65Â°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,L5410,$351.00 - $393.00,4,,2.33 GHz,,12 MB L2,1333 MHz FSB,50 W,Yes,Yes,,,,,,,,,57Â°C,No,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,,N/A,1,,1.80 GHz,,512 KB L2,400 MHz FSB,55 W,Yes,,,,,,,,,,69Â°C,Yes,No,,32-bit,,,,,,,,,,,
Intel Xeon Processor E7 v2 Family,Server,5140,$478.00 ,2,,2.33 GHz,,4 MB L2,1333 MHz FSB,65 W,Yes,Yes,,,,,,,,,65Â°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,,N/A,1,,3.00 GHz,,2 MB L2,800 MHz FSB,55 W,No,,,,,,,,,,86Â°C,Yes,No,,64-bit,,,,,,,,,,,
Intel Xeon Processor E7 v2 Family,Server,L5520,N/A,4,8,2.26 GHz,2.48 GHz,8 MB SmartCache,5.86 GT/s QPI,60 W,No,,144 GB,DDR3 800/1066 ,3,25.6 GB/s,Yes,,,,70Â°C,Yes,Yes,Yes,64-bit,,Yes,,,Yes,,,,,,
Intel Xeon Processor E7 v2 Family,Server,L5240,N/A,2,,3.00 GHz,,6 MB L2,1333 MHz FSB,40 W,No,,,,,,,,,,56Â°C,No,Yes,Yes,64-bit,,No,,,Yes,,,,,,
